,start_tracking_at_element,q0,mass0,p0c,gamma0,beta0,s,x,y,px,py,zeta,chi,charge_ratio,weight,particle_id,at_element,at_turn,state,parent_particle_id,_rng_s1,_rng_s2,_rng_s3,_rng_s4,delta,ptau,rvv,rpp
0,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002639327751660252,0.0001762980657103881,-9.347847427627325e-06,2.1078570684785638e-06,6.392644172119571e-06,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0.0002700004646110088,0.00027000046218607257,1.000000000004849,0.9997300724159621
1,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00022858302909927247,0.0003097470555329123,-8.682772802188991e-06,3.7127226368319625e-06,5.8231865189310595e-06,1.0,1.0,0.0,1,0,0,1,1,0,0,0,0,0.00027000047870995303,0.0002700004762850897,1.000000000004849,0.9997300724018707
2,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00016882943377665043,0.00042630765358571003,-7.558945203301522e-06,5.114384552755586e-06,4.857520928739513e-06,1.0,1.0,0.0,2,0,0,1,2,0,0,0,0,0.00027000046989900106,0.0002700004674742557,1.000000000004849,0.9997300724106769
3,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,8.874409797191059e-05,0.000518036447736979,-6.052951624616179e-06,6.217321873035075e-06,3.5614559156786474e-06,1.0,1.0,0.0,3,0,0,1,3,0,0,0,0,0.00027000043877878355,0.00027000043635401445,1.000000000004849,0.9997300724417804
4,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,-6.2152950271291135e-06,0.0005786822722543102,-4.267423039748305e-06,6.946371241983481e-06,2.0233161685398517e-06,1.0,1.0,0.0,4,0,0,1,4,0,0,0,0,0.00027000038746982646,0.00027000038504515895,1.000000000004849,0.9997300724930617
5,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002700804104917671,0.00017808508255100664,-9.463421742970896e-06,2.1293714190786988e-06,6.492384195046516e-06,1.0,1.0,0.0,5,0,0,1,5,0,0,0,0,0.0002700004696434277,0.0002700004672185282,1.000000000004849,0.9997300724109324
6,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00023417832464272135,0.0003136192128395078,-8.78795532651009e-06,3.7593130119376198e-06,5.914028766026933e-06,1.0,1.0,0.0,6,0,0,1,6,0,0,0,0,0.0002700004839626402,0.0002700004815378425,1.000000000004849,0.9997300723966209
7,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0001734910793931833,0.0004320010702368805,-7.646567921390003e-06,5.182875895297549e-06,4.933274650988645e-06,1.0,1.0,0.0,7,0,0,1,7,0,0,0,0,0.0002700004750140206,0.00027000047258933925,1.000000000004849,0.9997300724055647
8,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,9.215441021649443e-05,0.0005251631267967631,-6.117043193037701e-06,6.303046611206405e-06,3.6169586220987025e-06,1.0,1.0,0.0,8,0,0,1,8,0,0,0,0,0.0002700004434075254,0.00027000044098284427,1.000000000004849,0.9997300724371542
9,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,-4.288723298155276e-06,0.0005867565423221775,-4.303615724031266e-06,7.0434873765446315e-06,2.0547854414108633e-06,1.0,1.0,0.0,9,0,0,1,9,0,0,0,0,0.0002700003912969873,0.0002700003888722878,1.000000000004849,0.9997300724892365
10,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.000276228045817509,0.00017987209939162517,-9.57899605831447e-06,2.150885769678834e-06,6.592124217973461e-06,1.0,1.0,0.0,10,0,0,1,10,0,0,0,0,0.00027000047467584665,0.0002700004722509839,1.000000000004849,0.9997300724059027
11,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00023977362018617022,0.00031749137014610326,-8.893137850831186e-06,3.8059033870432766e-06,6.004871013122808e-06,1.0,1.0,0.0,11,0,0,1,11,0,0,0,0,0.0002700004892153274,0.0002700004867905953,1.000000000004849,0.999730072391371
12,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00017815272500971624,0.0004376944868880509,-7.734190639478483e-06,5.251367237839513e-06,5.009028373237777e-06,1.0,1.0,0.0,12,0,0,1,12,0,0,0,0,0.00027000048012926214,0.0002700004777044228,1.000000000004849,0.9997300724004522
13,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,9.556472246107832e-05,0.0005322898058565471,-6.181134761459224e-06,6.388771349377736e-06,3.672461328518758e-06,1.0,1.0,0.0,13,0,0,1,13,0,0,0,0,0.00027000044803648926,0.000270000445611674,1.000000000004849,0.9997300724325276
14,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,-2.3621515691814387e-06,0.0005948308123900449,-4.339808408314228e-06,7.140603511105781e-06,2.0862547142818753e-06,1.0,1.0,0.0,14,0,0,1,14,0,0,0,0,0.00027000039512437013,0.0002700003926994167,1.000000000004849,0.9997300724854112
